,frame,cell number,voltage,resistance,current,power,temperature_1,temperature_2
105,16,cell_1,3.9010000000000002,0.324,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
106,16,cell_2,3.8890000000000002,0.325,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
107,16,cell_3,3.869,0.322,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
108,16,cell_4,3.886,0.322,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
109,16,cell_5,3.864,0.327,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
110,16,cell_6,3.888,0.327,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
111,16,cell_average,3.882833333333334,0.3245,0.7000000000000001,16.307900000000004,22.3,22.200000000000003
112,17,cell_1,3.896,0.324,2.49,58.29090000000001,22.3,22.200000000000003
113,17,cell_2,3.9010000000000002,0.325,2.49,58.29090000000001,22.3,22.200000000000003
114,17,cell_3,3.906,0.322,2.49,58.29090000000001,22.3,22.200000000000003
115,17,cell_4,3.9,0.322,2.49,58.29090000000001,22.3,22.200000000000003
116,17,cell_5,3.9010000000000002,0.327,2.49,58.29090000000001,22.3,22.200000000000003
117,17,cell_6,3.906,0.327,2.49,58.29090000000001,22.3,22.200000000000003
118,17,cell_average,3.901666666666667,0.3245,2.49,58.29090000000001,22.3,22.200000000000003
119,18,cell_1,3.896,0.324,0.7000000000000001,16.387,22.3,22.200000000000003
120,18,cell_2,3.9010000000000002,0.325,0.7000000000000001,16.387,22.3,22.200000000000003
121,18,cell_3,3.906,0.322,0.7000000000000001,16.387,22.3,22.200000000000003
122,18,cell_4,3.9,0.322,0.7000000000000001,16.387,22.3,22.200000000000003
123,18,cell_5,3.9010000000000002,0.327,0.7000000000000001,16.387,22.3,22.200000000000003
124,18,cell_6,3.906,0.327,0.7000000000000001,16.387,22.3,22.200000000000003
125,18,cell_average,3.901666666666667,0.3245,0.7000000000000001,16.387,22.3,22.200000000000003
126,19,cell_1,3.8970000000000002,0.324,0.7000000000000001,16.391900000000003,22.3,22.200000000000003
127,19,cell_2,3.903,0.325,0.7000000000000001,16.391900000000003,22.3,22.200000000000003
128,19,cell_3,3.908,0.322,0.7000000000000001,16.391900000000003,22.3,22.200000000000003
129,19,cell_4,3.9010000000000002,0.322,0.7000000000000001,16.391900000000003,22.3,22.200000000000003
130,19,cell_5,3.9010000000000002,0.327,0.7000000000000001,16.391900000000003,22.3,22.200000000000003
131,19,cell_6,3.907,0.327,0.7000000000000001,16.391900000000003,22.3,22.200000000000003
132,19,cell_average,3.9028333333333336,0.3245,0.7000000000000001,16.391900000000003,22.3,22.200000000000003
133,20,cell_1,3.8970000000000002,0.324,0.7000000000000001,16.391900000000003,22.3,22.200000000000003
134,20,cell_2,3.903,0.325,0.7000000000000001,16.391900000000003,22.3,22.200000000000003
135,20,cell_3,3.908,0.322,0.7000000000000001,16.391900000000003,22.3,22.200000000000003
136,20,cell_4,3.9010000000000002,0.322,0.7000000000000001,16.391900000000003,22.3,22.200000000000003
137,20,cell_5,3.9010000000000002,0.327,0.7000000000000001,16.391900000000003,22.3,22.200000000000003
138,20,cell_6,3.907,0.327,0.7000000000000001,16.391900000000003,22.3,22.200000000000003
139,20,cell_average,3.9028333333333336,0.3245,0.7000000000000001,16.391900000000003,22.3,22.200000000000003
140,21,cell_1,3.895,0.324,0.7000000000000001,16.384900000000002,22.3,22.200000000000003
141,21,cell_2,3.9010000000000002,0.325,0.7000000000000001,16.384900000000002,22.3,22.200000000000003
142,21,cell_3,3.906,0.322,0.7000000000000001,16.384900000000002,22.3,22.200000000000003
143,21,cell_4,3.9,0.322,0.7000000000000001,16.384900000000002,22.3,22.200000000000003
144,21,cell_5,3.9,0.327,0.7000000000000001,16.384900000000002,22.3,22.200000000000003
145,21,cell_6,3.9050000000000002,0.327,0.7000000000000001,16.384900000000002,22.3,22.200000000000003
146,21,cell_average,3.9011666666666667,0.3245,0.7000000000000001,16.384900000000002,22.3,22.200000000000003
147,22,cell_1,3.895,0.324,0.7000000000000001,16.384900000000002,22.3,22.200000000000003
148,22,cell_2,3.9010000000000002,0.325,0.7000000000000001,16.384900000000002,22.3,22.200000000000003
