,frame,cell number,voltage,resistance,current,power
146,21,cell_average,3.5071666666666665,0.3185,8.095,170.343085
147,22,cell_1,3.446,0.318,7.1610000000000005,151.59120900000002
148,22,cell_2,3.612,0.317,7.1610000000000005,151.59120900000002
149,22,cell_3,3.626,0.314,7.1610000000000005,151.59120900000002
150,22,cell_4,3.473,0.319,7.1610000000000005,151.59120900000002
151,22,cell_5,3.5340000000000003,0.321,7.1610000000000005,151.59120900000002
152,22,cell_6,3.478,0.322,7.1610000000000005,151.59120900000002
153,22,cell_average,3.528166666666667,0.3185,7.1610000000000005,151.59120900000002
154,23,cell_1,3.446,0.318,6.538,138.40292200000002
155,23,cell_2,3.612,0.317,6.538,138.40292200000002
156,23,cell_3,3.626,0.314,6.538,138.40292200000002
157,23,cell_4,3.473,0.319,6.538,138.40292200000002
158,23,cell_5,3.5340000000000003,0.321,6.538,138.40292200000002
159,23,cell_6,3.478,0.322,6.538,138.40292200000002
160,23,cell_average,3.528166666666667,0.3185,6.538,138.40292200000002
161,24,cell_1,3.602,0.318,7.472,159.97552000000002
162,24,cell_2,3.61,0.317,7.472,159.97552000000002
163,24,cell_3,3.625,0.314,7.472,159.97552000000002
164,24,cell_4,3.468,0.319,7.472,159.97552000000002
165,24,cell_5,3.547,0.321,7.472,159.97552000000002
166,24,cell_6,3.5580000000000003,0.322,7.472,159.97552000000002
167,24,cell_average,3.5683333333333334,0.3185,7.472,159.97552000000002
168,25,cell_1,3.454,0.318,6.6160000000000005,140.15996
169,25,cell_2,3.533,0.317,6.6160000000000005,140.15996
170,25,cell_3,3.625,0.314,6.6160000000000005,140.15996
171,25,cell_4,3.468,0.319,6.6160000000000005,140.15996
172,25,cell_5,3.547,0.321,6.6160000000000005,140.15996
173,25,cell_6,3.5580000000000003,0.322,6.6160000000000005,140.15996
174,25,cell_average,3.5308333333333333,0.3185,6.6160000000000005,140.15996
175,26,cell_1,3.454,0.318,8.718,184.621086
176,26,cell_2,3.533,0.317,8.718,184.621086
177,26,cell_3,3.619,0.314,8.718,184.621086
178,26,cell_4,3.466,0.319,8.718,184.621086
179,26,cell_5,3.547,0.321,8.718,184.621086
180,26,cell_6,3.5580000000000003,0.322,8.718,184.621086
181,26,cell_average,3.5295,0.3185,8.718,184.621086
182,27,cell_1,3.454,0.318,6.772,142.862112
183,27,cell_2,3.533,0.317,6.772,142.862112
184,27,cell_3,3.619,0.314,6.772,142.862112
185,27,cell_4,3.468,0.319,6.772,142.862112
186,27,cell_5,3.494,0.321,6.772,142.862112
187,27,cell_6,3.528,0.322,6.772,142.862112
188,27,cell_average,3.516,0.3185,6.772,142.862112
189,28,cell_1,3.596,0.318,7.316,155.2821
190,28,cell_2,3.531,0.317,7.316,155.2821
191,28,cell_3,3.608,0.314,7.316,155.2821
192,28,cell_4,3.468,0.319,7.316,155.2821
193,28,cell_5,3.494,0.321,7.316,155.2821
194,28,cell_6,3.528,0.322,7.316,155.2821
195,28,cell_average,3.5375,0.3185,7.316,155.2821
196,29,cell_1,3.596,0.318,7.005,148.681125
197,29,cell_2,3.531,0.317,7.005,148.681125
198,29,cell_3,3.608,0.314,7.005,148.681125
199,29,cell_4,3.468,0.319,7.005,148.681125
200,29,cell_5,3.494,0.321,7.005,148.681125
201,29,cell_6,3.528,0.322,7.005,148.681125
202,29,cell_average,3.5375,0.3185,7.005,148.681125
203,30,cell_1,3.596,0.318,6.849,142.82904600000003
204,30,cell_2,3.531,0.317,6.849,142.82904600000003
205,30,cell_3,3.61,0.314,6.849,142.82904600000003
206,30,cell_4,3.2760000000000002,0.319,6.849,142.82904600000003
207,30,cell_5,3.395,0.321,6.849,142.82904600000003
208,30,cell_6,3.446,0.322,6.849,142.82904600000003
209,30,cell_average,3.475666666666667,0.3185,6.849,142.82904600000003
210,31,cell_1,3.596,0.318,7.005,146.08227000000002
211,31,cell_2,3.531,0.317,7.005,146.08227000000002
212,31,cell_3,3.61,0.314,7.005,146.08227000000002
213,31,cell_4,3.2760000000000002,0.319,7.005,146.08227000000002
214,31,cell_5,3.395,0.321,7.005,146.08227000000002
215,31,cell_6,3.446,0.322,7.005,146.08227000000002
216,31,cell_average,3.475666666666667,0.3185,7.005,146.08227000000002
217,32,cell_1,3.593,0.318,7.005,146.50257000000002
218,32,cell_2,3.596,0.317,7.005,146.50257000000002
219,32,cell_3,3.608,0.314,7.005,146.50257000000002
220,32,cell_4,3.2760000000000002,0.319,7.005,146.50257000000002
221,32,cell_5,3.395,0.321,7.005,146.50257000000002
222,32,cell_6,3.446,0.322,7.005,146.50257000000002
223,32,cell_average,3.485666666666667,0.3185,7.005,146.50257000000002
224,33,cell_1,3.593,0.318,6.6160000000000005,138.36702400000001
225,33,cell_2,3.596,0.317,6.6160000000000005,138.36702400000001
226,33,cell_3,3.608,0.314,6.6160000000000005,138.36702400000001
227,33,cell_4,3.2760000000000002,0.319,6.6160000000000005,138.36702400000001
228,33,cell_5,3.395,0.321,6.6160000000000005,138.36702400000001
229,33,cell_6,3.446,0.322,6.6160000000000005,138.36702400000001
230,33,cell_average,3.485666666666667,0.3185,6.6160000000000005,138.36702400000001
231,34,cell_1,3.593,0.318,9.185,191.48888
232,34,cell_2,3.596,0.317,9.185,191.48888
233,34,cell_3,3.472,0.314,9.185,191.48888
234,34,cell_4,3.2880000000000003,0.319,9.185,191.48888
235,34,cell_5,3.432,0.321,9.185,191.48888
236,34,cell_6,3.467,0.322,9.185,191.48888
237,34,cell_average,3.4746666666666663,0.3185,9.185,191.48888
238,35,cell_1,3.593,0.318,8.484,176.87443199999998
239,35,cell_2,3.596,0.317,8.484,176.87443199999998
240,35,cell_3,3.472,0.314,8.484,176.87443199999998
241,35,cell_4,3.2880000000000003,0.319,8.484,176.87443199999998
242,35,cell_5,3.432,0.321,8.484,176.87443199999998
243,35,cell_6,3.467,0.322,8.484,176.87443199999998
244,35,cell_average,3.4746666666666663,0.3185,8.484,176.87443199999998
245,36,cell_1,3.589,0.318,6.538,137.043018
246,36,cell_2,3.587,0.317,6.538,137.043018
247,36,cell_3,3.598,0.314,6.538,137.043018
248,36,cell_4,3.2880000000000003,0.319,6.538,137.043018
249,36,cell_5,3.432,0.321,6.538,137.043018
250,36,cell_6,3.467,0.322,6.538,137.043018
251,36,cell_average,3.4934999999999996,0.3185,6.538,137.043018
252,37,cell_1,3.589,0.318,6.694,140.34640399999998
253,37,cell_2,3.587,0.317,6.694,140.34640399999998
254,37,cell_3,3.603,0.314,6.694,140.34640399999998
255,37,cell_4,3.2880000000000003,0.319,6.694,140.34640399999998
256,37,cell_5,3.432,0.321,6.694,140.34640399999998
257,37,cell_6,3.467,0.322,6.694,140.34640399999998
258,37,cell_average,3.494333333333333,0.3185,6.694,140.34640399999998
259,38,cell_1,3.589,0.318,9.185,195.37413500000002
260,38,cell_2,3.587,0.317,9.185,195.37413500000002
261,38,cell_3,3.603,0.314,9.185,195.37413500000002
262,38,cell_4,3.432,0.319,9.185,195.37413500000002
263,38,cell_5,3.516,0.321,9.185,195.37413500000002
264,38,cell_6,3.544,0.322,9.185,195.37413500000002
265,38,cell_average,3.545166666666667,0.3185,9.185,195.37413500000002
266,39,cell_1,3.444,0.318,6.772,142.23231600000003
267,39,cell_2,3.536,0.317,6.772,142.23231600000003
268,39,cell_3,3.531,0.314,6.772,142.23231600000003
269,39,cell_4,3.432,0.319,6.772,142.23231600000003
270,39,cell_5,3.516,0.321,6.772,142.23231600000003
271,39,cell_6,3.544,0.322,6.772,142.23231600000003
272,39,cell_average,3.5005000000000006,0.3185,6.772,142.23231600000003
273,40,cell_1,3.444,0.318,6.9270000000000005,145.48778100000004
274,40,cell_2,3.536,0.317,6.9270000000000005,145.48778100000004
275,40,cell_3,3.531,0.314,6.9270000000000005,145.48778100000004
276,40,cell_4,3.432,0.319,6.9270000000000005,145.48778100000004
277,40,cell_5,3.516,0.321,6.9270000000000005,145.48778100000004
278,40,cell_6,3.544,0.322,6.9270000000000005,145.48778100000004
279,40,cell_average,3.5005000000000006,0.3185,6.9270000000000005,145.48778100000004
280,41,cell_1,3.444,0.318,6.6160000000000005,139.51159199999998
281,41,cell_2,3.536,0.317,6.6160000000000005,139.51159199999998
282,41,cell_3,3.601,0.314,6.6160000000000005,139.51159199999998
283,41,cell_4,3.45,0.319,6.6160000000000005,139.51159199999998
284,41,cell_5,3.519,0.321,6.6160000000000005,139.51159199999998
